0
"('chroma_cqt', 'median', '1')"
"('chroma_cens', 'mean', '1')"
"('chroma_cens', 'median', '1')"
"('chroma_cqt', 'median', '2')"
"('chroma_cens', 'mean', '2')"
"('chroma_cens', 'median', '2')"
"('chroma_cqt', 'median', '3')"
"('chroma_cens', 'mean', '3')"
"('chroma_cens', 'median', '3')"
"('chroma_cqt', 'median', '4')"
"('chroma_cqt', 'median', '5')"
"('chroma_cens', 'mean', '5')"
"('chroma_cens', 'median', '5')"
"('chroma_cqt', 'median', '6')"
"('chroma_cens', 'mean', '6')"
"('chroma_cens', 'median', '6')"
"('chroma_cqt', 'median', '7')"
"('chroma_cens', 'mean', '7')"
"('chroma_cens', 'median', '7')"
"('chroma_cqt', 'median', '8')"
"('chroma_cens', 'mean', '8')"
"('chroma_cens', 'median', '8')"
"('chroma_cqt', 'median', '9')"
"('chroma_cens', 'mean', '9')"
"('chroma_cens', 'median', '9')"
"('chroma_cqt', 'median', '10')"
"('chroma_cens', 'mean', '10')"
"('chroma_cens', 'median', '10')"
"('chroma_cqt', 'median', '11')"
"('chroma_cens', 'mean', '11')"
"('chroma_cens', 'median', '11')"
"('chroma_cqt', 'median', '12')"
"('chroma_cens', 'mean', '12')"
"('chroma_cens', 'median', '12')"
"('chroma_cens', 'median', '4')"
"('tonnetz', 'median', '1')"
"('tonnetz', 'median', '2')"
"('tonnetz', 'median', '3')"
"('tonnetz', 'median', '4')"
"('tonnetz', 'median', '5')"
"('tonnetz', 'median', '6')"
"('chroma_stft', 'median', '1')"
"('chroma_stft', 'median', '2')"
"('chroma_stft', 'median', '3')"
"('chroma_stft', 'median', '4')"
"('chroma_stft', 'median', '5')"
"('chroma_stft', 'median', '6')"
"('chroma_stft', 'median', '7')"
"('chroma_stft', 'median', '8')"
"('chroma_stft', 'median', '9')"
"('chroma_stft', 'median', '10')"
"('chroma_stft', 'median', '11')"
"('chroma_stft', 'median', '12')"
"('rmse', 'std', '1')"
"('rmse', 'max', '1')"
"('mfcc', 'min', '1')"
"('spectral_rolloff', 'mean', '1')"
"('spectral_rolloff', 'median', '1')"
"('spectral_bandwidth', 'min', '1')"
"('spectral_rolloff', 'min', '1')"
"('spectral_bandwidth', 'median', '1')"
"('spectral_contrast', 'median', '1')"
"('spectral_contrast', 'median', '2')"
"('spectral_contrast', 'median', '3')"
"('spectral_contrast', 'median', '4')"
"('spectral_contrast', 'median', '5')"
"('spectral_contrast', 'median', '6')"
"('spectral_contrast', 'median', '7')"
"('mfcc', 'median', '3')"
"('mfcc', 'median', '4')"
"('mfcc', 'median', '5')"
"('mfcc', 'median', '6')"
"('mfcc', 'median', '7')"
"('mfcc', 'median', '8')"
"('mfcc', 'median', '9')"
"('mfcc', 'median', '10')"
"('mfcc', 'median', '11')"
"('mfcc', 'median', '12')"
"('mfcc', 'median', '13')"
"('mfcc', 'median', '14')"
"('mfcc', 'median', '15')"
"('mfcc', 'median', '16')"
"('mfcc', 'median', '17')"
"('mfcc', 'median', '18')"
"('mfcc', 'median', '19')"
"('mfcc', 'median', '20')"
